Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
AP2M1,83.69,4.348700046539307,5.196000099182129,201.09970092773438,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
APP,80.65,3.9482998847961426,4.895599842071533,144.72900390625,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ARF1,88.29,5.129499912261963,5.809999942779541,368.09759521484375,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ARHGAP29,50.05,2.0585999488830566,4.11299991607666,41.822200775146484,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ASXL2,16.41,0.5982000231742859,3.645699977874756,7.48769998550415,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATL1,6.4,0.2214999943971634,3.461199998855591,2.6963000297546387,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATL3,29.77,1.1079000234603882,3.721100091934204,14.99470043182373,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATP11A,41.49,1.5973000526428223,3.850100040435791,23.70439910888672,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATP13A3,59.75,2.4932000637054443,4.172599792480469,47.99079895019531,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATP1A1,87.93,4.912799835205078,5.587500095367432,298.01239013671875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
